id,name
1,Applied Physics Letters
2,Journal of Applied Physics
3,Journal of Mathematical Physics
4,The Journal of Chemical Physics
5,Physics of Fluids
6,Biomicrofluidics
7,Chaos: An Interdisciplinary Journal of Nonlinear Science
8,Physics of Plasmas
9,World Conference on Explainable Artificial Intelligence
10,Conference on Automation
11,Conference on Information and Communication Technologies of Ecuador
12,Review of Scientific Instruments
13,"International Conference on Modelling, Computation and Optimization in Information Systems and Management Sciences"
14,"International Conference on Resilience, Earthquake Engineering and Structural Health Monitoring"
15,International Work-Conference on Bioinformatics and Biomedical Engineering
16,International Conference on Hybrid Artificial Intelligence Systems
17,International Conference on AI and Multimodal Services
18,International Conference on Enterprise Information Systems
19,International Conference on Digital Economy
20,International Conference on Smart Business Technologies
21,International Conference on Conceptual Modeling
22,International Conference on Software Engineering and Data Engineering
23,Mexican International Conference on Artificial Intelligence
24,International TRIZ and Artificial Intelligence Conference
25,Building Digital Twin International Congress
26,Climbing and Walking Robots Conference
27,International Conference on Moisture in Buildings
28,International Conference in Information Technology and Education
29,International Workshop on Annotation of Real-World Data for Artificial Intelligence Systems
30,Analytics Global Conference
31,"International Conference on Network Games, Artificial Intelligence, Control and Optimization"
32,International Conference on Computational Collective Intelligence
33,Brazilian Congress on Bioinformatics
34,International Semantic Web Conference
35,International Conference on Discrete Geometry and Mathematical Morphology
36,International Summit on the Global Internet of Things and Edge Computing
37,"International Conference on Intelligent Systems, Blockchain, and Communication Technologies"
38,International Workshop on Computer Algebra in Scientific Computing
39,International Information Security Conference
40,International Symposium on Intelligent Computing and Networking
41,APL Materials
42,"International Conference on Problems of Logistics, Management and Operation in the East-West Transport Corridor"
43,AIP Advances
44,International Congress of Telematics and Computing
45,Applied Physics Reviews
46,European Lean Educator Conference
47,APL Photonics
48,The International Conference on Recent Trends in Communication & Intelligent Systems
49,Asian Mining Congress
50,"International Conference on P2P, Parallel, Grid, Cloud and Internet Computing"
51,"International Conference on Broadband and Wireless Computing, Communication and Applications"
52,International Conference on Software Engineering and Formal Methods
53,IFIP International Conference on Network and Parallel Computing
54,International Conference on Intelligent Data Engineering and Automated Learning
55,Journal of Physical and Chemical Reference Data
56,Physics of Fluids A: Fluid Dynamics
57,Physics of Fluids B: Plasma Physics
58,The Physics of Fluids
59,"International Conference on Reliability, Safety, and Security of Railway Systems"
60,International Conference on Acoustics and Vibration of Mechanical Structures
61,International Conference on Integrated Formal Methods
62,International Symposium on Multibody Systems and Mechatronics
63,International Conference on Artificial Intelligence over Infrared Images for Medical Applications
64,Interdisciplinary Science and Research Conference on Digital Humanism
65,"International Symposium on Stabilizing, Safety, and Security of Distributed Systems"
66,International Conference on Product-Focused Software Process Improvement
67,Physics Today
68,Environment and Planning A: Economy and Space
69,""
70,Environment and Planning B: Planning and Design
71,International ATZ Conference on Vehicle Acoustics
72,Environment and Planning C: Government and Policy
73,Environment and Planning D: Society and Space
74,Working conference on Artificial Intelligence Development for a Resilient and Sustainable Tomorrow
75,Workshop des Arbeitskreises „Umweltinformationssysteme“
76,International ATZ Conference
77,Internationaler Motorenkongress
78, International Stuttgart Symposium
79,i-Perception
80,Perception
81,International Commercial Vehicle Technology Symposium
82,Circularity Days Future Automotive Production Conference FAPC & Werkstoffsymposium
83,Australian Journal of Agricultural Research
84,Australian Health Review
85,GQW Tagung
86,Publications of the Astronomical Society of Australia
87,Australian Journal of Biological Sciences
88,Australian Journal of Botany
89,Australian Journal of Chemistry
90,International Stuttgart Symposium
91,Crop &amp; Pasture Science
92,Australian Journal of Experimental Agriculture
93,International MTZ Conference on Heavy-Duty Engines
94,Australian Journal of Experimental Agriculture and Animal Husbandry
95,Environmental Chemistry
96,Functional Plant Biology
97,The Journal of Primary Health Care
98,Marine and Freshwater Research
99,Australian Journal of Marine and Freshwater Research
100,International Munich Chassis Symposium
101,Pacific Conservation Biology
102,Australian Journal of Physics
103,Australian Journal of Plant Physiology
104,"Reproduction, Fertility and Development"
105,Australian Journal of Soil Research
106,International Journal of Wildland Fire
107,Wildlife Research
108,Proceedings of the National Academy of Sciences
109,TRIZ-Anwendertag Workshop Deutschland
110,Jahreskolloquium zur Bildverarbeitung in der Automation
111,Joint European Conference on Machine Learning and Knowledge Discovery in Databases
112,Central European Functional Programming School
113,The International Conference on Strategic Innovative Marketing and Tourism
114,NATO International Conference
115,International Scientific Conference Management and Engineering
116,NATO Advanced Research Workshop
117,International Conference on Medical Imaging and Computer-Aided Diagnosis
118,International Conference on Aerospace System Science and Engineering
119,International Conference on Rehabilitation and Maintenance in Civil Engineering
120,International Conference on Mechanical Engineering Research
121,International Conference on Mechatronics and Control Engineering
122,"International Conference on Data Management, Analytics & Innovation"
123,Asia-Pacific International Symposium on Aerospace Technology
124,International Conference on Decision Science & Management
125,International conference on Smart Technologies and Systems for Internet of Things
126,National Conference on Multidisciplinary Analysis and Optimization
127," International Conference on Green Building, Civil Engineering and Smart City"
128,Conference on Smart Learning Ecosystems and Regional Development
